Account,Transaction_Date,Transaction_Type,Num,Customer,Vendor,Memo,Cleared,Amount,Facility
,2025-07-28,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX1995,Reconciled,417.6,Greeley
,2025-07-28,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,53.18,Greeley
,2025-07-30,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Reconciled,77.58,Greeley
,2025-07-31,Deposit,,,,July 2025,Cleared,636.05,Greeley
,2025-07-31,Deposit,,,,,,636.05,Greeley
,2025-08-01,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,106.86,Greeley
,2025-08-01,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX4559,Cleared,304.18,Greeley
,2025-08-01,Deposit,,HSS,,,Cleared,2836.1,Denver
,2025-08-04,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,77.83,Greeley
,2025-08-06,Deposit,,,,,Cleared,4989.02,Greeley
,2025-08-06,Deposit,,,,,,45.0,Greeley
,2025-08-06,Deposit,,Weave,,,,1.33,Greeley
,2025-08-06,Deposit,,Marrick Medical,,,,1427.76,Greeley
,2025-08-06,Deposit,,Weave,,,,41.66,Greeley
,2025-08-06,Deposit,,Marrick Medical,,,,322.97,Greeley
,2025-08-06,Deposit,,Weave,,,,8.81,Greeley
,2025-08-06,Deposit,,Marrick Medical,,,,3033.34,Greeley
,2025-08-06,Deposit,,Weave,,,,88.22,Greeley
,2025-08-06,Deposit,,Weave,,,,0.61,Greeley
,2025-08-06,Deposit,,,,,,15.0,Greeley
,2025-08-06,Deposit,,Marrick Medical,,,,295.2,Greeley
,2025-08-06,Deposit,,Weave,,,,9.62,Greeley
,2025-08-08,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,131.01,Greeley
,2025-08-13,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,14.39,Greeley
,2025-08-14,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX2390,Cleared,2808.81,Greeley
,2025-08-18,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,48.55,Greeley
,2025-08-19,Deposit,,HSS,,,Cleared,4248.91,Denver
,2025-08-19,Deposit,,,,,Cleared,43.67,Greeley
,2025-08-19,Deposit,,,HSS,,Cleared,860.64,Greeley
,2025-08-20,Deposit,,,,,Cleared,1037.65,Greeley
,2025-08-20,Deposit,,,,PNCBANK_XTRANSFR  ACCTVERIFY PNCBANK_XTRANSFR  ACCTVERIFY                     XXXXXX2684,,-0.17,Greeley
,2025-08-20,Deposit,,,,Patient Payments,,1037.65,Greeley
,2025-08-20,Deposit,,,,PNCBANK_XTRANSFR  ACCTVERIFY PNCBANK_XTRANSFR  ACCTVERIFY                     XXXXXX2683,,-0.15,Greeley
,2025-08-20,Deposit,,,,PNCBANK_XTRANSFR  ACCTVERIFY PNCBANK_XTRANSFR  ACCTVERIFY                     XXXXXX2683,Cleared,0.15,Greeley
,2025-08-20,Deposit,,,,PNCBANK_XTRANSFR  ACCTVERIFY PNCBANK_XTRANSFR  ACCTVERIFY                     XXXXXX2684,Cleared,0.17,Greeley
,2025-08-21,Deposit,,Guardian Medical,,,Cleared,225.0,Greeley
,2025-08-21,Deposit,,,,,Cleared,82.46,Greeley
,2025-08-25,Deposit,,,,,Cleared,368.35,Greeley
,2025-08-25,Deposit,,,TRIO,,Cleared,850.44,Denver
,2025-08-25,Deposit,,ART Management,,,Cleared,3000.0,Greeley
,2025-08-26,Deposit,,,,,Uncleared,6000.0,Greeley
,2025-08-26,Deposit,,,,,Cleared,91.33,Greeley
,2025-08-26,Deposit,,,,,Cleared,390.96,Greeley
,2025-08-26,Deposit,,,,,Cleared,434.9,Greeley
,2025-08-26,Deposit,,,,BERB,Cleared,6000.0,Greeley
,2025-08-27,Deposit,,,,,Cleared,116.62,Greeley
,2025-08-28,Deposit,,,,,Cleared,2865.21,Greeley
,2025-08-28,Deposit,,Marrick Medical,,,,2951.04,Greeley
,2025-08-28,Deposit,,,,,Uncleared,-85.83,Greeley
,2025-08-28,Deposit,,ART Management,,,Cleared,1000.0,Greeley
,2025-08-29,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,135.89,Greeley
,2025-08-31,Deposit,,,,,,568.52,Greeley
,2025-08-31,Deposit,,,,August 2025,Cleared,568.52,Greeley
,2025-09-02,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,24.15,Greeley
,2025-09-03,Deposit,,Guardian Medical,,REGULAR DEPOSIT,Uncleared,225.0,Greeley
,2025-09-03,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,48.55,Greeley
,2025-09-05,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,82.21,Greeley
,2025-09-08,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX3473,Uncleared,609.88,Greeley
,2025-09-08,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,125.88,Greeley
,2025-09-09,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,24.15,Greeley
,2025-09-10,Deposit,,ART DENVER,,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX5311,Uncleared,1500.0,Greeley
,2025-09-10,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,14.39,Greeley
,2025-09-12,Deposit,,,,,Uncleared,400.0,Greeley
,2025-09-12,Deposit,,HSS,,,Cleared,2919.13,Denver
,2025-09-12,Deposit,,Weave,,,Uncleared,43.67,Greeley
,2025-09-15,Deposit,,,TRIO,,Uncleared,1972.67,Greeley
