Account,Transaction_Date,Transaction_Type,Num,Customer,Vendor,Memo,Cleared,Amount,Facility
,2025-12-11,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,87.34,Greeley
,2025-12-11,Deposit,,,,,Cleared,1320.91,Greeley
,2025-12-11,Deposit,,,,,,115.0,Greeley
,2025-12-11,Deposit,,,,,Uncleared,-3.51,Greeley
,2025-12-11,Deposit,,,,Sedgwick,,1246.57,Greeley
,2025-12-11,Deposit,,,TRIO,,Cleared,1107.55,Greeley
,2025-12-12,Deposit,,Nationwide,,S.Purdy,,341.0,Greeley
,2025-12-12,Deposit,,Nationwide,,S.Purdy,,274.16,Greeley
,2025-12-12,Deposit,,Nationwide,,S.Purdy,,457.44,Greeley
,2025-12-12,Deposit,,Nationwide,,S.Purdy,,183.28,Greeley
,2025-12-12,Deposit,,Guardian Medical,,December 2025,,225.0,Greeley
,2025-12-12,Deposit,,,,REGULAR DEPOSIT,Cleared,1951.44,Greeley
,2025-12-12,Deposit,,Nationwide,,S.Purdy,,287.28,Greeley
,2025-12-12,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,14.39,Greeley
,2025-12-15,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX0443,Cleared,295.2,Denver
,2025-12-15,Deposit,,,TRIO,,Cleared,266.94,Greeley
,2025-12-17,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,91.52,Greeley
,2025-12-18,Deposit,,,Marrick Medical,,Cleared,1874.63,Denver
,2025-12-18,Deposit,,Marrick Medical,,,Cleared,1333.01,Greeley
,2025-12-18,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,87.34,Greeley
,2025-12-19,Deposit,,HSS,,,Cleared,3233.96,Denver
,2025-12-22,Deposit,,,HSS,,Cleared,883.09,Greeley
,2025-12-22,Deposit,,,Sedgwick,VPAY E054601432   HCCLAIMPMT VPAY E054601432   HCCLAIMPMT                     XXXXXX9035,Cleared,595.88,Greeley
,2025-12-24,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,53.18,Greeley
,2025-12-24,Deposit,,Marrick Medical,,HNB - ECHO        HCCLAIMPMT HNB - ECHO        HCCLAIMPMT                     XXXXXX6837,Cleared,1929.23,Greeley
,2025-12-24,Deposit,,,Marrick Medical,HNB - ECHO        HCCLAIMPMT HNB - ECHO        HCCLAIMPMT                     XXXXXX6835,Cleared,1550.37,Denver
,2025-12-29,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX4511,Cleared,147.6,Denver
,2025-12-29,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX4509,Cleared,912.16,Greeley
,2025-12-30,Deposit,,,Marrick Medical,HNB - ECHO        HCCLAIMPMT HNB - ECHO        HCCLAIMPMT                     XXXXXX9856,Cleared,1593.64,Denver
,2025-12-30,Deposit,,HSS,,,Cleared,1203.63,Denver
,2025-12-30,Deposit,,,HSS,,Cleared,529.45,Greeley
,2025-12-30,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,72.57,Greeley
,2025-12-31,Deposit,,Marrick Medical,,,Cleared,1804.97,Greeley
,2025-12-31,Deposit,,,,,Cleared,183.94,Greeley
,2025-12-31,Deposit,,,,,,2381.2,Greeley
,2025-12-31,Deposit,,,Marrick Medical,,Cleared,1109.78,Denver
,2025-12-31,Deposit,,,,Dec 2025,Cleared,2381.2,Greeley
,2025-12-31,Deposit,,Nationwide,,,Cleared,287.28,Greeley
,2026-01-02,Deposit,,MEDPORT,,Medport Billing   GR0661 Medport Billing   GR0661                         XXXXXX5715,Cleared,73.31,Denver
,2026-01-06,Deposit,,,,PROVE Partners    ACCTVERIFY PROVE Partners    ACCTVERIFY                     XXXXXX7971,Cleared,0.01,Greeley
,2026-01-07,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,334.72,Greeley
,2026-01-08,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,18.06,Greeley
,2026-01-08,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX6518,Cleared,467.18,Greeley
,2026-01-09,Deposit,,,"Prove Partners, LLC",PROVE Partners    Bill.com PROVE Partners    Bill.com                       XXXXXX6148,Cleared,73.31,Greeley
,2026-01-09,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,62.94,Greeley
,2026-01-12,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,58.06,Greeley
,2026-01-13,Deposit,,HSS,,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX9627,Cleared,2180.45,Denver
,2026-01-13,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX0787,Cleared,410.11,Greeley
,2026-01-14,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,91.97,Greeley
,2026-01-14,Deposit,,Marrick Medical,,,Cleared,906.28,Greeley
,2026-01-14,Deposit,,,Marrick Medical,,Cleared,1158.93,Denver
,2026-01-16,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,14.39,Greeley
,2026-01-20,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX1851,Cleared,114.91,Greeley
,2026-01-21,Deposit,,,,December 2025,Cleared,1537.87,Greeley
,2026-01-21,Deposit,,,,,,1537.87,Greeley
,2026-01-22,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Cleared,158.82,Greeley
,2026-01-22,Deposit,,,,GINN Capital Call,Cleared,4000.0,Denver
,2026-01-23,Deposit,,,,Ginn 6 month deficit deposit to equal $100k May - Oct.,Cleared,8293.1,Greeley
,2026-01-23,Deposit,,,,"Capital Call BERB
TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX0751",Cleared,12000.0,Denver
,2026-01-26,Deposit,,,Sedgwick,VPAY E055863344   HCCLAIMPMT VPAY E055863344   HCCLAIMPMT                     XXXXXX6674,Cleared,148.97,Greeley
,2026-01-28,Deposit,,Marrick Medical,,,Uncleared,1600.0,Greeley
,2026-01-28,Deposit,,,,,Uncleared,14.39,Greeley
,2026-01-28,Deposit,,,,,,15.0,Greeley
,2026-01-28,Deposit,,,,,Uncleared,-0.61,Greeley
,2026-01-28,Deposit,,HSS,,,Uncleared,2577.91,Denver
,2026-01-28,Deposit,,,Marrick Medical,,Uncleared,5447.15,Denver
,2026-01-31,Deposit,,Nationwide,,,Uncleared,287.28,Greeley
