Month,Facility,EHR_Total_Collected,EHR_Patient_Paid,EHR_Insurance_Paid,EHR_Visit_Count,QB_Revenue,Discrepancy,Discrepancy_Pct,Flag
2025-06,Denver,0.0,0.0,0.0,0.0,14736.02,14736.02,100.0,REVIEW
2025-06,Greeley,0.0,0.0,0.0,0.0,1362.17,1362.17,100.0,REVIEW
2025-07,Denver,0.0,0.0,0.0,0.0,4572.09,4572.09,100.0,REVIEW
2025-07,Greeley,0.0,0.0,0.0,0.0,12237.53,12237.53,100.0,REVIEW
2025-08,Denver,0.0,0.0,0.0,0.0,7935.450000000001,7935.450000000001,100.0,REVIEW
2025-08,Greeley,0.0,0.0,0.0,0.0,15712.93,15712.93,100.0,REVIEW
2025-09,Denver,7142.19,0.0,7142.19,108.0,7841.01,698.8200000000006,9.784393862386755,REVIEW
2025-09,Greeley,7259.17,365.0,6894.17,277.0,24672.86,17413.690000000002,239.8854138971811,REVIEW
2025-10,Denver,6501.11,0.0,6501.11,146.0,15722.97,9221.86,141.8505455222262,REVIEW
2025-10,Greeley,2740.22,550.0,2190.22,325.0,36596.409999999996,33856.189999999995,1235.5281692710805,REVIEW
2025-11,Denver,11010.36,0.0,11010.36,155.0,12678.64,1668.2799999999988,15.151911472467738,REVIEW
2025-11,Greeley,2282.98,530.0,1752.98,257.0,19649.98,17367.0,760.7162568222236,REVIEW
2025-12,Denver,6914.3099999999995,0.0,6914.3099999999995,127.0,13357.779999999999,6443.469999999999,93.19035449668874,REVIEW
2025-12,Greeley,1004.88,570.0,434.88,265.0,16907.16,15902.28,1582.5053737759733,REVIEW
2026-01,Denver,0.0,0.0,0.0,0.0,11364.439999999999,11364.439999999999,100.0,REVIEW
2026-01,Greeley,0.0,0.0,0.0,0.0,6299.88,6299.88,100.0,REVIEW
