Month,Facility,EHR_Total_Collected,EHR_Patient_Paid,EHR_Insurance_Paid,EHR_Visit_Count,QB_Revenue,Discrepancy,Discrepancy_Pct,Flag
2025-05,Denver,1474.49,393.40999999999997,1081.08,16,0.0,-1474.49,-100.0,REVIEW
2025-05,Greeley,2011.48,45.0,1966.48,27,0.0,-2011.48,-100.0,REVIEW
2025-06,Denver,3216.4,-40.0,3256.4,29,14736.02,11519.62,358.1525929610745,REVIEW
2025-06,Greeley,4562.69,101.44,4461.25,53,1362.17,-3200.5199999999995,-70.14546243553693,REVIEW
2025-07,Denver,2551.83,0.0,2551.83,19,4572.09,2020.2600000000002,79.16906690492706,REVIEW
2025-07,Greeley,1492.61,40.0,1452.61,55,12237.53,10744.92,719.8745821078514,REVIEW
2025-08,Denver,1929.73,65.5,1864.23,26,7935.450000000001,6005.720000000001,311.2207407253865,REVIEW
2025-08,Greeley,3749.85,135.0,3614.85,101,15712.93,11963.08,319.0282277957785,REVIEW
2025-09,Denver,7373.75,125.0,7248.75,90,7841.01,467.2600000000002,6.336802847940332,OK
2025-09,Greeley,8026.0199999999995,691.58,7334.44,203,24672.86,16646.84,207.41089606056303,REVIEW
2025-10,Denver,8490.72,450.0,8040.719999999999,126,15722.97,7232.25,85.17828876703037,REVIEW
2025-10,Greeley,11239.46,583.81,10655.65,258,36596.409999999996,25356.949999999997,225.6064793148425,REVIEW
2025-11,Denver,10987.33,343.0,10644.33,130,12678.64,1691.3099999999995,15.393275709385259,REVIEW
2025-11,Greeley,10047.36,949.5,9097.86,221,19649.98,9602.619999999999,95.57356360277723,REVIEW
2025-12,Denver,5970.2699999999995,0.0,5970.2699999999995,103,13357.779999999999,7387.509999999999,123.7382898930869,REVIEW
2025-12,Greeley,6926.13,530.0,6396.13,220,16907.16,9981.029999999999,144.10688219828387,REVIEW
2026-01,Denver,1290.29,455.0,835.29,129,11364.439999999999,10074.149999999998,780.7663393500684,REVIEW
2026-01,Greeley,1089.54,851.19,238.35,209,6299.88,5210.34,478.2146593975439,REVIEW
