Month,Facility,EHR_Total_Collected,EHR_Patient_Paid,EHR_Insurance_Paid,EHR_Visit_Count,QB_Deposits,QB_Deposit_Count,Discrepancy,Discrepancy_Pct,Flag
2025-05,Denver,0.0,0.0,0.0,0.0,25000.0,1,25000.0,0.0,REVIEW
2025-05,Greeley,0.0,0.0,0.0,0.0,25000.0,1,25000.0,0.0,REVIEW
2025-06,Denver,0.0,0.0,0.0,0.0,26695.64,5,26695.64,0.0,REVIEW
2025-06,Greeley,0.0,0.0,0.0,0.0,1768.98,17,1768.98,0.0,REVIEW
2025-07,Denver,0.0,0.0,0.0,0.0,4572.09,7,4572.09,0.0,REVIEW
2025-07,Greeley,0.0,0.0,0.0,0.0,20062.58,20,20062.58,0.0,REVIEW
2025-08,Denver,0.0,0.0,0.0,0.0,7935.450000000001,3,7935.450000000001,0.0,REVIEW
2025-08,Greeley,0.0,0.0,0.0,0.0,35462.75,44,35462.75,0.0,REVIEW
2025-09,Denver,7142.19,0.0,7142.19,108.0,8739.82,8,1597.63,22.368909256124525,REVIEW
2025-09,Greeley,7259.17,365.0,6894.17,277.0,36400.76,40,29141.590000000004,401.44520654565196,REVIEW
2025-10,Denver,6501.11,0.0,6501.11,146.0,23538.56,21,17037.45,262.0698619158882,REVIEW
2025-10,Greeley,2740.22,550.0,2190.22,325.0,37297.79,35,34557.57,1261.1239243564387,REVIEW
2025-11,Denver,11010.36,0.0,11010.36,155.0,14778.080000000002,11,3767.720000000001,34.219771197308724,REVIEW
2025-11,Greeley,2282.98,530.0,1752.98,257.0,20804.2,34,18521.22,811.273861356648,REVIEW
2025-12,Denver,6914.3099999999995,0.0,6914.3099999999995,127.0,13431.08,11,6516.77,94.25047474006809,REVIEW
2025-12,Greeley,1004.88,570.0,434.88,265.0,21741.55,36,20736.67,2063.5966483560223,REVIEW
2026-01,Denver,0.0,0.0,0.0,0.0,9257.3,4,9257.3,0.0,REVIEW
2026-01,Greeley,0.0,0.0,0.0,0.0,7326.51,19,7326.51,0.0,REVIEW
